Mã,Tên,Tên Tiếng Anh,Cấp,Mã QH,Quận Huyện,Mã TP,Tỉnh / Thành Phố
8872,Xã Hoàng Hoa,,Xã,247,Huyện Tam Dương,26,Tỉnh Vĩnh Phúc
8875,Xã Đồng Tĩnh,,Xã,247,Huyện Tam Dương,26,Tỉnh Vĩnh Phúc
8878,Xã Kim Long,,Xã,247,Huyện Tam Dương,26,Tỉnh Vĩnh Phúc
8881,Xã Hướng Đạo,,Xã,247,Huyện Tam Dương,26,Tỉnh Vĩnh Phúc
8884,Xã Đạo Tú,,Xã,247,Huyện Tam Dương,26,Tỉnh Vĩnh Phúc
8887,Xã An Hòa,,Xã,247,Huyện Tam Dương,26,Tỉnh Vĩnh Phúc
8890,Xã Thanh Vân,,Xã,247,Huyện Tam Dương,26,Tỉnh Vĩnh Phúc
8893,Xã Duy Phiên,,Xã,247,Huyện Tam Dương,26,Tỉnh Vĩnh Phúc
8896,Xã Hoàng Đan,,Xã,247,Huyện Tam Dương,26,Tỉnh Vĩnh Phúc
8899,Xã Hoàng Lâu,,Xã,247,Huyện Tam Dương,26,Tỉnh Vĩnh Phúc
8902,Xã Vân Hội,,Xã,247,Huyện Tam Dương,26,Tỉnh Vĩnh Phúc
8905,Xã Hợp Thịnh,,Xã,247,Huyện Tam Dương,26,Tỉnh Vĩnh Phúc
8908,Thị trấn Tam Đảo,,Thị trấn,248,Huyện Tam Đảo,26,Tỉnh Vĩnh Phúc
8911,Thị trấn Hợp Châu,,Thị trấn,248,Huyện Tam Đảo,26,Tỉnh Vĩnh Phúc
8914,Xã Đạo Trù,,Xã,248,Huyện Tam Đảo,26,Tỉnh Vĩnh Phúc
8917,Xã Yên Dương,,Xã,248,Huyện Tam Đảo,26,Tỉnh Vĩnh Phúc
8920,Xã Bồ Lý,,Xã,248,Huyện Tam Đảo,26,Tỉnh Vĩnh Phúc
8923,Thị trấn Đại Đình,,Thị trấn,248,Huyện Tam Đảo,26,Tỉnh Vĩnh Phúc
8926,Xã Tam Quan,,Xã,248,Huyện Tam Đảo,26,Tỉnh Vĩnh Phúc
8929,Xã Hồ Sơn,,Xã,248,Huyện Tam Đảo,26,Tỉnh Vĩnh Phúc
8932,Xã Minh Quang,,Xã,248,Huyện Tam Đảo,26,Tỉnh Vĩnh Phúc
8935,Thị trấn Hương Canh,,Thị trấn,249,Huyện Bình Xuyên,26,Tỉnh Vĩnh Phúc
8936,Thị trấn Gia Khánh,,Thị trấn,249,Huyện Bình Xuyên,26,Tỉnh Vĩnh Phúc
8938,Xã Trung Mỹ,,Xã,249,Huyện Bình Xuyên,26,Tỉnh Vĩnh Phúc
8944,Thị trấn Bá Hiến,,Thị trấn,249,Huyện Bình Xuyên,26,Tỉnh Vĩnh Phúc
8947,Xã Thiện Kế,,Xã,249,Huyện Bình Xuyên,26,Tỉnh Vĩnh Phúc
8950,Xã Hương Sơn,,Xã,249,Huyện Bình Xuyên,26,Tỉnh Vĩnh Phúc
8953,Xã Tam Hợp,,Xã,249,Huyện Bình Xuyên,26,Tỉnh Vĩnh Phúc
8956,Xã Quất Lưu,,Xã,249,Huyện Bình Xuyên,26,Tỉnh Vĩnh Phúc
8959,Xã Sơn Lôi,,Xã,249,Huyện Bình Xuyên,26,Tỉnh Vĩnh Phúc
8962,Thị trấn Đạo Đức,,Thị trấn,249,Huyện Bình Xuyên,26,Tỉnh Vĩnh Phúc
8965,Xã Tân Phong,,Xã,249,Huyện Bình Xuyên,26,Tỉnh Vĩnh Phúc
8968,Thị trấn Thanh Lãng,,Thị trấn,249,Huyện Bình Xuyên,26,Tỉnh Vĩnh Phúc
8971,Xã Phú Xuân,,Xã,249,Huyện Bình Xuyên,26,Tỉnh Vĩnh Phúc
9025,Thị trấn Yên Lạc,,Thị trấn,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9028,Xã Đồng Cương,,Xã,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9031,Xã Đồng Văn,,Xã,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9034,Xã Bình Định,,Xã,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9037,Xã Trung Nguyên,,Xã,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9040,Xã Tề Lỗ,,Xã,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9043,Xã Tam Hồng,,Xã,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9046,Xã Yên Đồng,,Xã,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9049,Xã Văn Tiến,,Xã,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9052,Xã Nguyệt Đức,,Xã,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9055,Xã Yên Phương,,Xã,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9058,Xã Hồng Phương,,Xã,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9061,Xã Trung Kiên,,Xã,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9064,Xã Liên Châu,,Xã,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9067,Xã Đại Tự,,Xã,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9070,Xã Hồng Châu,,Xã,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9073,Xã Trung Hà,,Xã,251,Huyện Yên Lạc,26,Tỉnh Vĩnh Phúc
9076,Thị trấn Vĩnh Tường,,Thị trấn,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9079,Xã Kim Xá,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9082,Xã Yên Bình,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9085,Xã Chấn Hưng,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9088,Xã Nghĩa Hưng,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9091,Xã Yên Lập,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9094,Xã Việt Xuân,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9097,Xã Bồ Sao,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9100,Xã Đại Đồng,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9103,Xã Tân Tiến,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9106,Xã Lũng Hoà,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9109,Xã Cao Đại,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9112,Thị Trấn Thổ Tang,,Thị trấn,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9115,Xã Vĩnh Sơn,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9118,Xã Bình Dương,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9124,Xã Tân Phú,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9127,Xã Thượng Trưng,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9130,Xã Vũ Di,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9133,Xã Lý Nhân,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9136,Xã Tuân Chính,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9139,Xã Vân Xuân,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9142,Xã Tam Phúc,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9145,Thị trấn Tứ Trưng,,Thị trấn,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9148,Xã Ngũ Kiên,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9151,Xã An Tường,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9154,Xã Vĩnh Thịnh,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9157,Xã Phú Đa,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
9160,Xã Vĩnh Ninh,,Xã,252,Huyện Vĩnh Tường,26,Tỉnh Vĩnh Phúc
8773,Xã Lãng Công,,Xã,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
8776,Xã Quang Yên,,Xã,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
8779,Xã Bạch Lưu,,Xã,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
8782,Xã Hải Lựu,,Xã,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
8800,Xã Đồng Quế,,Xã,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
8803,Xã Nhân Đạo,,Xã,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
8806,Xã Đôn Nhân,,Xã,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
8809,Xã Phương Khoan,,Xã,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
8818,Xã Tân Lập,,Xã,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
8821,Xã Nhạo Sơn,,Xã,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
8824,Thị trấn Tam Sơn,,Thị trấn,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
8827,Xã Như Thụy,,Xã,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
8830,Xã Yên Thạch,,Xã,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
8848,Xã Đồng Thịnh,,Xã,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
8851,Xã Tứ Yên,,Xã,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
8854,Xã Đức Bác,,Xã,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
8860,Xã Cao Phong,,Xã,253,Huyện Sông Lô,26,Tỉnh Vĩnh Phúc
9163,Phường Vũ Ninh,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9166,Phường Đáp Cầu,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9169,Phường Thị Cầu,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9172,Phường Kinh Bắc,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9175,Phường Vệ An,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9178,Phường Tiền An,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9181,Phường Đại Phúc,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9184,Phường Ninh Xá,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9187,Phường Suối Hoa,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9190,Phường Võ Cường,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9214,Phường Hòa Long,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9226,Phường Vạn An,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9235,Phường Khúc Xuyên,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9244,Phường Phong Khê,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9256,Phường Kim Chân,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9271,Phường Vân Dương,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9286,Phường Nam Sơn,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9325,Phường Khắc Niệm,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9331,Phường Hạp Lĩnh,,Phường,256,Thành phố Bắc Ninh,27,Tỉnh Bắc Ninh
9193,Thị trấn Chờ,,Thị trấn,258,Huyện Yên Phong,27,Tỉnh Bắc Ninh
9196,Xã Dũng Liệt,,Xã,258,Huyện Yên Phong,27,Tỉnh Bắc Ninh
9199,Xã Tam Đa,,Xã,258,Huyện Yên Phong,27,Tỉnh Bắc Ninh
9202,Xã Tam Giang,,Xã,258,Huyện Yên Phong,27,Tỉnh Bắc Ninh
9205,Xã Yên Trung,,Xã,258,Huyện Yên Phong,27,Tỉnh Bắc Ninh
9208,Xã Thụy Hòa,,Xã,258,Huyện Yên Phong,27,Tỉnh Bắc Ninh
9211,Xã Hòa Tiến,,Xã,258,Huyện Yên Phong,27,Tỉnh Bắc Ninh
9217,Xã Đông Tiến,,Xã,258,Huyện Yên Phong,27,Tỉnh Bắc Ninh
9220,Xã Yên Phụ,,Xã,258,Huyện Yên Phong,27,Tỉnh Bắc Ninh
9223,Xã Trung Nghĩa,,Xã,258,Huyện Yên Phong,27,Tỉnh Bắc Ninh
9229,Xã Đông Phong,,Xã,258,Huyện Yên Phong,27,Tỉnh Bắc Ninh
9232,Xã Long Châu,,Xã,258,Huyện Yên Phong,27,Tỉnh Bắc Ninh
9238,Xã Văn Môn,,Xã,258,Huyện Yên Phong,27,Tỉnh Bắc Ninh
9241,Xã Đông Thọ,,Xã,258,Huyện Yên Phong,27,Tỉnh Bắc Ninh
9247,Thị trấn Phố Mới,,Thị trấn,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9250,Xã Việt Thống,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9253,Xã Đại Xuân,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9259,Xã Nhân Hòa,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9262,Xã Bằng An,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9265,Xã Phương Liễu,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9268,Xã Quế Tân,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9274,Xã Phù Lương,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9277,Xã Phù Lãng,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9280,Xã Phượng Mao,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9283,Xã Việt Hùng,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9289,Xã Ngọc Xá,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9292,Xã Châu Phong,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9295,Xã Bồng Lai,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9298,Xã Cách Bi,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9301,Xã Đào Viên,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9304,Xã Yên Giả,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9307,Xã Mộ Đạo,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9310,Xã Đức Long,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9313,Xã Chi Lăng,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9316,Xã Hán Quảng,,Xã,259,Huyện Quế Võ,27,Tỉnh Bắc Ninh
9319,Thị trấn Lim,,Thị trấn,260,Huyện Tiên Du,27,Tỉnh Bắc Ninh
9322,Xã Phú Lâm,,Xã,260,Huyện Tiên Du,27,Tỉnh Bắc Ninh
9328,Xã Nội Duệ,,Xã,260,Huyện Tiên Du,27,Tỉnh Bắc Ninh
9334,Xã Liên Bão,,Xã,260,Huyện Tiên Du,27,Tỉnh Bắc Ninh
9337,Xã Hiên Vân,,Xã,260,Huyện Tiên Du,27,Tỉnh Bắc Ninh
9340,Xã Hoàn Sơn,,Xã,260,Huyện Tiên Du,27,Tỉnh Bắc Ninh
9343,Xã Lạc Vệ,,Xã,260,Huyện Tiên Du,27,Tỉnh Bắc Ninh
9346,Xã Việt Đoàn,,Xã,260,Huyện Tiên Du,27,Tỉnh Bắc Ninh
9349,Xã Phật Tích,,Xã,260,Huyện Tiên Du,27,Tỉnh Bắc Ninh
9352,Xã Tân Chi,,Xã,260,Huyện Tiên Du,27,Tỉnh Bắc Ninh
9355,Xã Đại Đồng,,Xã,260,Huyện Tiên Du,27,Tỉnh Bắc Ninh
9358,Xã Tri Phương,,Xã,260,Huyện Tiên Du,27,Tỉnh Bắc Ninh
9361,Xã Minh Đạo,,Xã,260,Huyện Tiên Du,27,Tỉnh Bắc Ninh
9364,Xã Cảnh Hưng,,Xã,260,Huyện Tiên Du,27,Tỉnh Bắc Ninh
9367,Phường Đông Ngàn,,Phường,261,Thị xã Từ Sơn,27,Tỉnh Bắc Ninh
9370,Phường Tam Sơn,,Phường,261,Thị xã Từ Sơn,27,Tỉnh Bắc Ninh
9373,Phường Hương Mạc,,Phường,261,Thị xã Từ Sơn,27,Tỉnh Bắc Ninh
9376,Phường Tương Giang,,Phường,261,Thị xã Từ Sơn,27,Tỉnh Bắc Ninh
9379,Phường Phù Khê,,Phường,261,Thị xã Từ Sơn,27,Tỉnh Bắc Ninh
9382,Phường Đồng Kỵ,,Phường,261,Thị xã Từ Sơn,27,Tỉnh Bắc Ninh
9383,Phường Trang Hạ,,Phường,261,Thị xã Từ Sơn,27,Tỉnh Bắc Ninh
9385,Phường Đồng Nguyên,,Phường,261,Thị xã Từ Sơn,27,Tỉnh Bắc Ninh
9388,Phường Châu Khê,,Phường,261,Thị xã Từ Sơn,27,Tỉnh Bắc Ninh
9391,Phường Tân Hồng,,Phường,261,Thị xã Từ Sơn,27,Tỉnh Bắc Ninh
9394,Phường Đình Bảng,,Phường,261,Thị xã Từ Sơn,27,Tỉnh Bắc Ninh
9397,Phường Phù Chẩn,,Phường,261,Thị xã Từ Sơn,27,Tỉnh Bắc Ninh
9400,Thị trấn Hồ,,Thị trấn,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9403,Xã Hoài Thượng,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9406,Xã Đại Đồng Thành,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9409,Xã Mão Điền,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9412,Xã Song Hồ,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9415,Xã Đình Tổ,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9418,Xã An Bình,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9421,Xã Trí Quả,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9424,Xã Gia Đông,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9427,Xã Thanh Khương,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9430,Xã Trạm Lộ,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9433,Xã Xuân Lâm,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9436,Xã Hà Mãn,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9439,Xã Ngũ Thái,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9442,Xã Nguyệt Đức,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9445,Xã Ninh Xá,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9448,Xã Nghĩa Đạo,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9451,Xã Song Liễu,,Xã,262,Huyện Thuận Thành,27,Tỉnh Bắc Ninh
9454,Thị trấn Gia Bình,,Thị trấn,263,Huyện Gia Bình,27,Tỉnh Bắc Ninh
9457,Xã Vạn Ninh,,Xã,263,Huyện Gia Bình,27,Tỉnh Bắc Ninh
9460,Xã Thái Bảo,,Xã,263,Huyện Gia Bình,27,Tỉnh Bắc Ninh
9463,Xã Giang Sơn,,Xã,263,Huyện Gia Bình,27,Tỉnh Bắc Ninh
9466,Xã Cao Đức,,Xã,263,Huyện Gia Bình,27,Tỉnh Bắc Ninh
9469,Xã Đại Lai,,Xã,263,Huyện Gia Bình,27,Tỉnh Bắc Ninh
9472,Xã Song Giang,,Xã,263,Huyện Gia Bình,27,Tỉnh Bắc Ninh
9475,Xã Bình Dương,,Xã,263,Huyện Gia Bình,27,Tỉnh Bắc Ninh
9478,Xã Lãng Ngâm,,Xã,263,Huyện Gia Bình,27,Tỉnh Bắc Ninh
9481,Xã Nhân Thắng,,Xã,263,Huyện Gia Bình,27,Tỉnh Bắc Ninh
9484,Xã Xuân Lai,,Xã,263,Huyện Gia Bình,27,Tỉnh Bắc Ninh
9487,Xã Đông Cứu,,Xã,263,Huyện Gia Bình,27,Tỉnh Bắc Ninh
9490,Xã Đại Bái,,Xã,263,Huyện Gia Bình,27,Tỉnh Bắc Ninh
9493,Xã Quỳnh Phú,,Xã,263,Huyện Gia Bình,27,Tỉnh Bắc Ninh
9496,Thị trấn Thứa,,Thị trấn,264,Huyện Lương Tài,27,Tỉnh Bắc Ninh
9499,Xã An Thịnh,,Xã,264,Huyện Lương Tài,27,Tỉnh Bắc Ninh
9502,Xã Trung Kênh,,Xã,264,Huyện Lương Tài,27,Tỉnh Bắc Ninh
9505,Xã Phú Hòa,,Xã,264,Huyện Lương Tài,27,Tỉnh Bắc Ninh
9508,Xã Mỹ Hương,,Xã,264,Huyện Lương Tài,27,Tỉnh Bắc Ninh
9511,Xã Tân Lãng,,Xã,264,Huyện Lương Tài,27,Tỉnh Bắc Ninh
9514,Xã Quảng Phú,,Xã,264,Huyện Lương Tài,27,Tỉnh Bắc Ninh
9517,Xã Trừng Xá,,Xã,264,Huyện Lương Tài,27,Tỉnh Bắc Ninh
9520,Xã Lai Hạ,,Xã,264,Huyện Lương Tài,27,Tỉnh Bắc Ninh
9523,Xã Trung Chính,,Xã,264,Huyện Lương Tài,27,Tỉnh Bắc Ninh
9526,Xã Minh Tân,,Xã,264,Huyện Lương Tài,27,Tỉnh Bắc Ninh
9529,Xã Bình Định,,Xã,264,Huyện Lương Tài,27,Tỉnh Bắc Ninh
9532,Xã Phú Lương,,Xã,264,Huyện Lương Tài,27,Tỉnh Bắc Ninh
9535,Xã Lâm Thao,,Xã,264,Huyện Lương Tài,27,Tỉnh Bắc Ninh
10507,Phường Cẩm Thượng,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10510,Phường Bình Hàn,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10513,Phường Ngọc Châu,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10514,Phường Nhị Châu,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10516,Phường Quang Trung,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10519,Phường Nguyễn Trãi,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10522,Phường Phạm Ngũ Lão,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10525,Phường Trần Hưng Đạo,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10528,Phường Trần Phú,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10531,Phường Thanh Bình,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10532,Phường Tân Bình,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10534,Phường Lê Thanh Nghị,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10537,Phường Hải Tân,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10540,Phường Tứ Minh,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10543,Phường Việt Hoà,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10660,Phường Ái Quốc,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10663,Xã An Thượng,,Xã,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10672,Phường Nam Đồng,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10822,Xã Quyết Thắng,,Xã,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10837,Xã Tiền Tiến,,Xã,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
11002,Phường Thạch Khôi,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
11005,Xã Liên Hồng,,Xã,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
11011,Phường Tân Hưng,,Phường,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
11017,Xã Gia Xuyên,,Xã,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
11077,Xã Ngọc Sơn,,Xã,288,Thành phố Hải Dương,30,Tỉnh Hải Dương
10546,Phường Phả Lại,,Phường,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10549,Phường Sao Đỏ,,Phường,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10552,Phường Bến Tắm,,Phường,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10555,Xã Hoàng Hoa Thám,,Xã,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10558,Xã Bắc An,,Xã,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10561,Xã Hưng Đạo,,Xã,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10564,Xã Lê Lợi,,Xã,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10567,Phường Hoàng Tiến,,Phường,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10570,Phường Cộng Hoà,,Phường,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10573,Phường Hoàng Tân,,Phường,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10576,Phường Cổ Thành,,Phường,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10579,Phường Văn An,,Phường,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10582,Phường Chí Minh,,Phường,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10585,Phường Văn Đức,,Phường,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10588,Phường Thái Học,,Phường,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10591,Xã Nhân Huệ,,Xã,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10594,Phường An Lạc,,Phường,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10600,Phường Đồng Lạc,,Phường,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10603,Phường Tân Dân,,Phường,290,Thành phố Chí Linh,30,Tỉnh Hải Dương
10606,Thị trấn Nam Sách,,Thị trấn,291,Huyện Nam Sách,30,Tỉnh Hải Dương
10609,Xã Nam Hưng,,Xã,291,Huyện Nam Sách,30,Tỉnh Hải Dương
10612,Xã Nam Tân,,Xã,291,Huyện Nam Sách,30,Tỉnh Hải Dương
10615,Xã Hợp Tiến,,Xã,291,Huyện Nam Sách,30,Tỉnh Hải Dương
10618,Xã Hiệp Cát,,Xã,291,Huyện Nam Sách,30,Tỉnh Hải Dương
10621,Xã Thanh Quang,,Xã,291,Huyện Nam Sách,30,Tỉnh Hải Dương
10624,Xã Quốc Tuấn,,Xã,291,Huyện Nam Sách,30,Tỉnh Hải Dương
10627,Xã Nam Chính,,Xã,291,Huyện Nam Sách,30,Tỉnh Hải Dương
